Test Number, PySortedSet, set
1, 0.08350250000000001 seconds, 0.00019295899999999255 seconds
2, 0.069068708 seconds, 0.00018962499999999882 seconds
3, 0.068652291 seconds, 0.00017366699999998847 seconds
4, 0.06845591699999998 seconds, 0.00018470900000000512 seconds
5, 0.06830991599999997 seconds, 0.00018579200000001794 seconds
6, 0.06681258299999993 seconds, 0.00016516599999993886 seconds
7, 0.06798612500000001 seconds, 0.00016462500000002933 seconds
8, 0.06802050000000004 seconds, 0.0001675830000000822 seconds
9, 0.0669405420000001 seconds, 0.00015975000000001405 seconds
10, 0.06694700000000009 seconds, 0.00016445800000008948 seconds
11, 0.06689137499999998 seconds, 0.00015425000000002242 seconds
12, 0.06656941699999996 seconds, 0.0001467080000000509 seconds
13, 0.06692299999999995 seconds, 0.00015304199999999213 seconds
14, 0.06676412499999995 seconds, 0.0001503750000000359 seconds
15, 0.06803391699999994 seconds, 0.00018737500000010066 seconds
16, 0.07611866700000003 seconds, 0.00015970799999998064 seconds
17, 0.06844229099999999 seconds, 0.00016091699999987163 seconds
18, 0.06683483300000015 seconds, 0.00019354199999987998 seconds
19, 0.06691695799999997 seconds, 0.00015387499999985899 seconds
20, 0.06641216599999988 seconds, 0.00015091599999994543 seconds
21, 0.06600320799999992 seconds, 0.00014312499999991068 seconds
22, 0.06690087499999997 seconds, 0.0001492920000001341 seconds
23, 0.06591849999999999 seconds, 0.00014225000000012145 seconds
24, 0.06593833399999993 seconds, 0.00014750000000018915 seconds
25, 0.06579791700000004 seconds, 0.00014291700000002017 seconds
26, 0.06564895799999992 seconds, 0.00014291599999993743 seconds
27, 0.06605291599999985 seconds, 0.00014266699999998522 seconds
28, 0.06647191699999988 seconds, 0.0001508330000001834 seconds
29, 0.06665620799999994 seconds, 0.00014933400000005648 seconds
30, 0.08050016599999976 seconds, 0.00016045800000030752 seconds
31, 0.06824120799999989 seconds, 0.00015674999999992778 seconds
32, 0.06585933400000021 seconds, 0.00014833300000027805 seconds
33, 0.0660551250000001 seconds, 0.0001517079999997506 seconds
34, 0.06621800000000011 seconds, 0.0001405829999998609 seconds
35, 0.06604091700000003 seconds, 0.00014137500000011016 seconds
36, 0.06607733299999996 seconds, 0.0001452080000001743 seconds
37, 0.06748558400000038 seconds, 0.00014870799999977535 seconds
38, 0.06616783299999973 seconds, 0.00014849999999988484 seconds
39, 0.0660758330000002 seconds, 0.00014933299999997374 seconds
40, 0.06599095799999999 seconds, 0.00014087500000004027 seconds
41, 0.06596879200000005 seconds, 0.0001382919999999288 seconds
42, 0.06608437499999997 seconds, 0.0001474159999999003 seconds
43, 0.0675880000000002 seconds, 0.00016362499999988955 seconds
44, 0.0686391249999998 seconds, 0.00016033300000017903 seconds
45, 0.07218420799999992 seconds, 0.00015141700000009806 seconds
46, 0.06636879099999993 seconds, 0.0001587089999999236 seconds
47, 0.06701879199999983 seconds, 0.00015224999999974287 seconds
48, 0.06597412499999988 seconds, 0.00014204199999978684 seconds
49, 0.06722270900000016 seconds, 0.00015862500000007884 seconds
50, 0.06661320899999978 seconds, 0.00014387500000001552 seconds
51, 0.06601716599999996 seconds, 0.0001514579999999377 seconds
52, 0.06731016700000003 seconds, 0.00015679199999985016 seconds
53, 0.06591574999999983 seconds, 0.00014279100000003098 seconds
54, 0.06582700000000008 seconds, 0.00014624999999979238 seconds
55, 0.06567529199999989 seconds, 0.00014237500000024994 seconds
56, 0.06567970800000023 seconds, 0.00014237500000024994 seconds
57, 0.06569629099999963 seconds, 0.00013841599999997456 seconds
